numnodes = 128
[(24, 44), (89, 21), (22, 42), (47, 83), (55, 103), (123, 21), (16, 125), (1, 110), (68, 4), (71, 88), (111, 26), (124, 85), (24, 92), (81, 50), (101, 27), (82, 110), (8, 114), (105, 7), (64, 112), (20, 50), (43, 53), (87, 64), (31, 49), (79, 3), (50, 77)]
[(13, 63), (42, 65), (122, 87), (82, 94), (15, 122), (51, 57), (98, 60), (102, 66), (78, 13), (75, 25), (119, 14), (2, 116), (1, 57), (125, 5), (87, 95), (16, 64), (98, 39), (74, 77), (66, 19), (39, 89), (95, 31), (24, 60), (64, 83), (102, 35), (59, 20)]
[(108, 100), (34, 15), (70, 74), (88, 96), (120, 62), (21, 5), (45, 19), (114, 95), (24, 51), (78, 51), (0, 82), (88, 30), (79, 104), (100, 57), (44, 23), (35, 24), (1, 56), (86, 66), (118, 8), (86, 7), (80, 11), (22, 31), (92, 48), (5, 4), (53, 124)]
[(19, 2), (74, 71), (118, 57), (108, 79), (105, 34), (44, 115), (64, 36), (127, 31), (66, 1), (4, 78), (48, 23), (45, 111), (19, 72), (75, 17), (114, 71), (14, 10), (92, 16), (53, 41), (10, 12), (89, 116), (98, 122), (18, 87), (69, 50), (105, 101), (7, 74)]
[(118, 67), (122, 118), (89, 124), (17, 126), (3, 105), (120, 47), (64, 127), (43, 66), (51, 27), (69, 8), (59, 112), (93, 12), (22, 73), (60, 122), (38, 59), (47, 49), (14, 3), (47, 103), (89, 30), (43, 12), (105, 126), (125, 18), (125, 113), (72, 34), (108, 45)]
[(62, 1), (65, 79), (24, 23), (1, 78), (117, 90), (103, 46), (127, 52), (115, 41), (57, 68), (5, 33), (14, 53), (127, 121), (67, 3), (69, 71), (96, 78), (21, 115), (53, 14), (116, 15), (4, 34), (106, 99), (106, 57), (29, 27), (76, 65), (65, 126), (120, 61)]
[(100, 69), (46, 111), (114, 36), (83, 36), (126, 69), (112, 114), (48, 54), (104, 74), (122, 17), (127, 64), (40, 51), (84, 90), (38, 49), (76, 87), (116, 94), (24, 5), (113, 123), (84, 56), (24, 118), (100, 34), (85, 16), (62, 55), (108, 93), (24, 107), (118, 112)]
[(92, 79), (100, 54), (110, 44), (32, 67), (14, 7), (68, 5), (42, 1), (80, 59), (3, 23), (7, 124), (71, 92), (95, 114), (12, 43), (60, 118), (39, 21), (67, 90), (12, 49), (116, 92), (59, 70), (77, 48), (117, 32), (20, 3), (27, 50), (26, 65), (45, 33)]
[(100, 61), (90, 110), (19, 64), (102, 59), (64, 13), (39, 66), (31, 94), (107, 116), (51, 53), (118, 43), (66, 118), (94, 60), (3, 100), (61, 63), (88, 12), (126, 99), (104, 33), (57, 12), (82, 11), (24, 39), (97, 63), (87, 33), (88, 0), (41, 112), (60, 78)]
[(40, 78), (30, 106), (17, 37), (80, 45), (94, 59), (96, 30), (10, 121), (99, 52), (98, 5), (32, 27), (67, 82), (64, 67), (108, 39), (27, 4), (86, 107), (77, 107), (32, 29), (1, 48), (1, 53), (50, 51), (20, 104), (41, 76), (66, 58), (9, 86), (59, 103)]
[(115, 109), (118, 86), (33, 81), (55, 59), (8, 40), (51, 44), (45, 88), (82, 108), (110, 33), (80, 6), (115, 0), (22, 117), (112, 83), (91, 21), (64, 102), (8, 114), (118, 67), (48, 8), (74, 3), (85, 48), (45, 72), (1, 127), (63, 9), (63, 98), (56, 42)]
[(64, 96), (108, 121), (16, 11), (61, 32), (26, 10), (34, 35), (17, 43), (82, 36), (103, 78), (79, 81), (18, 114), (124, 100), (106, 10), (96, 5), (118, 108), (50, 71), (1, 100), (96, 123), (36, 15), (15, 75), (68, 20), (114, 64), (96, 0), (2, 122), (87, 39)]
[(79, 99), (75, 47), (96, 112), (3, 91), (33, 105), (21, 80), (118, 70), (40, 126), (92, 27), (81, 102), (46, 72), (48, 83), (50, 29), (114, 124), (107, 52), (118, 0), (27, 60), (104, 98), (98, 34), (127, 84), (46, 13), (5, 12), (59, 5), (76, 125), (58, 15)]
[(32, 17), (51, 10), (71, 124), (34, 38), (102, 86), (46, 71), (51, 24), (109, 98), (8, 3), (64, 109), (96, 95), (48, 69), (65, 12), (114, 20), (72, 116), (68, 7), (71, 104), (127, 29), (85, 19), (80, 92), (5, 62), (54, 105), (18, 42), (66, 19), (29, 45)]
[(41, 32), (108, 84), (48, 8), (41, 109), (67, 127), (83, 92), (57, 77), (36, 34), (101, 118), (112, 104), (9, 92), (68, 97), (93, 27), (29, 34), (40, 69), (72, 73), (79, 118), (72, 96), (81, 29), (23, 76), (110, 89), (103, 70), (0, 98), (72, 52), (4, 92)]
[(23, 5), (107, 22), (68, 35), (50, 4), (48, 12), (80, 2), (47, 127), (11, 10), (46, 114), (50, 21), (48, 43), (10, 126), (17, 16), (116, 92), (102, 108), (31, 119), (56, 22), (119, 10), (103, 88), (24, 119), (57, 88), (27, 7), (4, 58), (67, 52), (52, 70)]
