numnodes = 32
[(14, 25), (0, 27), (23, 18), (20, 25), (11, 1), (18, 8)]
[(5, 2), (7, 1), (5, 30), (28, 3), (6, 22), (31, 1)]
[(0, 31), (15, 27), (30, 29), (28, 24), (26, 19), (21, 12)]
[(27, 22), (17, 18), (17, 1), (30, 20), (30, 31), (22, 1)]
[(5, 23), (27, 11), (19, 29), (31, 12), (6, 23), (0, 24)]
[(31, 5), (19, 31), (14, 29), (11, 1), (29, 11), (19, 11)]
[(27, 6), (28, 25), (19, 0), (5, 12), (26, 4), (21, 12)]
[(2, 14), (5, 22), (28, 0), (30, 24), (15, 26), (25, 31)]
[(9, 5), (2, 28), (25, 2), (11, 29), (3, 22), (17, 18)]
[(14, 19), (28, 16), (10, 18), (26, 21), (22, 13), (21, 13)]
[(0, 17), (28, 4), (9, 10), (15, 16), (31, 10), (16, 9)]
[(24, 20), (6, 21), (21, 11), (29, 15), (6, 23), (22, 23)]
[(27, 9), (24, 30), (10, 16), (4, 7), (27, 24), (31, 3)]
[(27, 28), (2, 1), (13, 24), (8, 4), (2, 24), (13, 4)]
[(17, 18), (16, 25), (16, 3), (23, 19), (5, 1), (29, 11)]
[(12, 4), (18, 19), (16, 2), (8, 2), (18, 30), (29, 21)]
[(3, 20), (2, 1), (4, 2), (29, 16), (10, 31), (2, 8)]
[(9, 2), (25, 30), (3, 23), (9, 28), (31, 29), (19, 9)]
[(11, 16), (16, 6), (22, 14), (23, 0), (21, 3), (19, 30)]
[(6, 8), (13, 3), (31, 23), (8, 13), (12, 2), (19, 5)]
[(14, 16), (26, 5), (1, 12), (23, 7), (22, 13), (30, 17)]
[(24, 9), (12, 15), (1, 18), (11, 5), (31, 11), (17, 26)]
[(22, 27), (17, 26), (20, 17), (0, 8), (28, 25), (3, 30)]
[(17, 30), (9, 22), (10, 1), (27, 11), (13, 1), (27, 5)]
[(25, 24), (9, 29), (20, 29), (4, 27), (25, 11), (5, 0)]
[(23, 29), (29, 27), (16, 23), (3, 5), (11, 2), (10, 15)]
[(5, 11), (13, 0), (29, 18), (18, 20), (28, 9), (12, 15)]
[(10, 2), (20, 7), (14, 0), (5, 13), (24, 4), (23, 4)]
[(10, 25), (7, 3), (29, 25), (14, 11), (27, 12), (23, 5)]
[(12, 17), (3, 11), (31, 14), (6, 4), (10, 18), (19, 4)]
[(18, 15), (3, 0), (26, 28), (22, 17), (20, 26), (31, 22)]
[(7, 3), (16, 14), (24, 20), (11, 0), (26, 17), (20, 26)]
[(12, 20), (8, 21), (8, 16), (29, 31), (13, 9), (23, 11)]
[(4, 5), (22, 30), (29, 3), (26, 24), (0, 17), (30, 22)]
[(9, 10), (29, 22), (9, 14), (6, 1), (23, 21), (16, 15)]
[(16, 3), (1, 8), (9, 6), (27, 30), (21, 31), (7, 21)]
[(22, 20), (9, 17), (19, 13), (11, 13), (16, 11), (14, 3)]
[(22, 17), (29, 16), (9, 3), (18, 26), (1, 4), (2, 8)]
[(18, 28), (23, 25), (9, 14), (23, 20), (4, 25), (18, 27)]
[(5, 13), (8, 28), (22, 12), (30, 31), (0, 30), (22, 14)]
[(25, 4), (7, 21), (28, 5), (0, 31), (11, 1), (20, 1)]
[(2, 18), (0, 6), (6, 10), (23, 5), (19, 4), (20, 3)]
[(16, 13), (30, 3), (9, 14), (7, 23), (2, 19), (31, 19)]
[(8, 14), (7, 3), (25, 2), (9, 15), (11, 27), (6, 12)]
[(5, 13), (31, 0), (28, 3), (11, 27), (13, 8), (18, 6)]
[(17, 19), (19, 11), (20, 4), (26, 10), (25, 1), (27, 3)]
[(0, 14), (13, 20), (16, 31), (13, 28), (27, 26), (26, 31)]
[(26, 31), (15, 17), (14, 6), (2, 15), (26, 25), (23, 24)]
[(3, 11), (26, 19), (16, 20), (14, 7), (4, 11), (0, 23)]
[(5, 0), (30, 16), (25, 24), (16, 8), (2, 10), (21, 27)]
[(11, 16), (23, 5), (26, 5), (0, 29), (7, 30), (0, 13)]
[(26, 14), (7, 9), (5, 23), (3, 0), (26, 10), (22, 19)]
[(6, 7), (8, 27), (26, 0), (27, 6), (8, 19), (4, 19)]
[(4, 2), (29, 25), (28, 31), (23, 15), (11, 19), (7, 19)]
[(23, 8), (18, 8), (16, 15), (10, 20), (1, 10), (27, 29)]
[(11, 8), (4, 10), (0, 15), (2, 30), (11, 13), (0, 16)]
[(11, 0), (4, 8), (1, 14), (1, 8), (31, 18), (22, 0)]
[(10, 8), (6, 14), (6, 5), (21, 23), (30, 0), (4, 19)]
[(14, 2), (24, 22), (30, 21), (22, 25), (19, 18), (7, 2)]
[(24, 29), (7, 4), (12, 5), (0, 19), (17, 25), (28, 13)]
[(23, 20), (9, 13), (16, 6), (30, 8), (5, 1), (26, 6)]
[(19, 22), (14, 5), (27, 2), (15, 24), (27, 31), (3, 29)]
[(7, 15), (4, 7), (20, 8), (11, 12), (0, 6), (9, 25)]
[(13, 15), (12, 18), (15, 29), (14, 9), (8, 12), (14, 21)]
[(27, 29), (10, 6), (0, 4), (21, 24), (8, 12), (25, 24)]
[(17, 1), (6, 29), (22, 11), (7, 29), (23, 17), (4, 8)]
[(7, 29), (30, 11), (23, 30), (8, 1), (8, 28), (22, 16)]
[(17, 15), (24, 1), (26, 3), (2, 13), (18, 24), (19, 17)]
[(7, 12), (11, 20), (9, 18), (2, 13), (10, 8), (3, 6)]
[(24, 3), (17, 0), (5, 12), (0, 16), (27, 9), (27, 12)]
[(28, 6), (1, 31), (30, 31), (4, 23), (0, 4), (14, 29)]
[(30, 15), (18, 10), (17, 2), (5, 24), (2, 17), (0, 27)]
[(25, 5), (15, 17), (26, 4), (13, 8), (8, 28), (8, 3)]
[(24, 5), (18, 5), (20, 1), (5, 22), (31, 30), (1, 4)]
[(26, 12), (15, 8), (23, 1), (20, 22), (1, 31), (22, 2)]
[(12, 14), (15, 24), (15, 25), (24, 14), (13, 28), (26, 28)]
[(29, 23), (2, 15), (8, 22), (30, 18), (12, 2), (11, 25)]
[(17, 30), (23, 18), (16, 26), (4, 2), (15, 28), (29, 8)]
[(5, 12), (0, 24), (2, 25), (21, 31), (15, 12), (2, 18)]
[(10, 16), (29, 27), (29, 16), (9, 15), (22, 8), (21, 7)]
[(5, 25), (12, 0), (13, 4), (18, 20), (0, 27), (10, 29)]
[(7, 5), (24, 23), (24, 13), (0, 11), (15, 11), (9, 21)]
[(13, 0), (2, 12), (28, 8), (10, 30), (17, 29), (8, 0)]
[(31, 24), (29, 9), (14, 1), (1, 29), (20, 30), (22, 18)]
[(4, 17), (12, 9), (0, 15), (10, 0), (18, 21), (2, 6)]
[(30, 22), (19, 26), (18, 28), (16, 2), (16, 4), (26, 15)]
[(3, 27), (28, 12), (26, 12), (18, 21), (19, 26), (27, 8)]
[(14, 12), (9, 14), (17, 7), (11, 22), (5, 15), (0, 26)]
[(31, 0), (12, 7), (31, 9), (1, 25), (8, 13), (8, 0)]
[(17, 3), (31, 26), (23, 29), (20, 30), (19, 18), (24, 22)]
[(11, 7), (22, 18), (27, 1), (28, 15), (4, 9), (12, 13)]
[(25, 4), (3, 4), (20, 16), (17, 27), (2, 24), (4, 9)]
[(14, 23), (11, 29), (23, 12), (14, 1), (3, 24), (12, 30)]
[(27, 26), (5, 20), (28, 26), (13, 25), (19, 30), (0, 24)]
[(10, 5), (18, 13), (5, 7), (24, 30), (4, 24), (21, 4)]
[(8, 31), (25, 12), (14, 15), (27, 3), (31, 27), (13, 16)]
[(21, 9), (11, 2), (19, 25), (25, 11), (26, 5), (5, 13)]
[(23, 21), (26, 3), (5, 4), (23, 24), (8, 23), (16, 30)]
[(14, 9), (23, 22), (21, 4), (24, 12), (14, 30), (31, 30)]
[(27, 10), (18, 7), (0, 7), (5, 19), (5, 9), (16, 19)]
