numnodes = 64
[(31, 16), (37, 42), (17, 51), (30, 60), (5, 16), (42, 51), (58, 22), (38, 19), (38, 43), (47, 10), (7, 2), (37, 1)]
[(29, 25), (5, 17), (25, 27), (0, 60), (4, 23), (44, 50), (45, 30), (55, 43), (2, 18), (13, 1), (19, 62), (41, 27)]
[(56, 48), (52, 6), (62, 37), (43, 51), (28, 10), (48, 29), (52, 24), (63, 22), (23, 31), (33, 28), (11, 9), (10, 47)]
[(17, 50), (25, 10), (35, 8), (29, 36), (43, 24), (57, 3), (15, 41), (1, 50), (33, 62), (36, 16), (8, 0), (16, 17)]
[(32, 11), (7, 61), (5, 60), (39, 48), (28, 50), (60, 40), (22, 59), (23, 24), (42, 21), (59, 50), (21, 14), (48, 40)]
[(61, 55), (2, 50), (50, 10), (39, 20), (9, 40), (13, 55), (57, 9), (20, 12), (33, 39), (57, 63), (15, 6), (17, 12)]
[(16, 15), (43, 8), (59, 5), (60, 38), (8, 31), (50, 16), (59, 55), (44, 13), (2, 51), (26, 25), (41, 22), (34, 37)]
[(5, 29), (17, 60), (33, 55), (53, 31), (52, 53), (27, 18), (50, 38), (27, 50), (51, 44), (34, 55), (51, 30), (40, 31)]
[(29, 37), (60, 1), (29, 6), (29, 25), (53, 48), (6, 37), (29, 23), (20, 2), (29, 31), (7, 2), (10, 30), (41, 38)]
[(6, 34), (15, 59), (36, 20), (39, 53), (36, 7), (13, 36), (27, 35), (54, 51), (41, 60), (61, 28), (54, 15), (54, 52)]
[(24, 57), (8, 33), (2, 9), (28, 19), (6, 22), (55, 12), (47, 59), (15, 41), (38, 14), (20, 48), (31, 7), (40, 15)]
[(23, 32), (36, 27), (45, 11), (8, 49), (34, 1), (6, 49), (8, 63), (20, 33), (26, 23), (12, 49), (55, 44), (4, 61)]
[(5, 25), (20, 14), (26, 50), (63, 49), (40, 37), (41, 40), (41, 14), (5, 26), (49, 41), (19, 55), (29, 28), (28, 61)]
[(42, 12), (29, 40), (9, 23), (5, 40), (2, 18), (63, 23), (42, 8), (17, 61), (48, 2), (32, 56), (40, 17), (36, 8)]
[(51, 43), (30, 62), (16, 40), (43, 30), (20, 18), (32, 52), (48, 55), (23, 61), (63, 7), (27, 50), (9, 58), (2, 22)]
[(8, 27), (8, 62), (25, 57), (31, 10), (8, 58), (5, 20), (62, 35), (37, 20), (42, 44), (44, 22), (44, 58), (62, 15)]
[(35, 41), (2, 12), (60, 41), (26, 51), (30, 54), (54, 50), (52, 21), (40, 19), (23, 30), (45, 34), (1, 56), (13, 34)]
[(10, 38), (55, 20), (59, 48), (46, 32), (33, 62), (52, 60), (35, 1), (61, 48), (8, 29), (17, 47), (7, 58), (62, 42)]
[(34, 28), (56, 28), (54, 15), (24, 55), (18, 6), (11, 17), (15, 4), (44, 32), (47, 0), (59, 40), (53, 27), (12, 42)]
[(25, 17), (8, 52), (4, 24), (11, 42), (21, 39), (57, 26), (57, 14), (63, 46), (10, 8), (47, 0), (53, 58), (4, 55)]
[(47, 35), (44, 34), (23, 58), (21, 45), (12, 56), (33, 29), (49, 4), (26, 52), (31, 50), (21, 34), (36, 45), (26, 18)]
[(54, 41), (39, 23), (54, 40), (27, 42), (36, 43), (41, 36), (14, 18), (4, 5), (13, 23), (38, 48), (3, 40), (61, 53)]
[(13, 21), (5, 46), (22, 31), (29, 43), (45, 24), (33, 24), (10, 57), (39, 28), (4, 43), (4, 51), (30, 7), (7, 28)]
[(18, 10), (61, 27), (11, 30), (11, 55), (33, 1), (30, 59), (11, 28), (46, 42), (16, 27), (24, 9), (34, 55), (58, 5)]
[(30, 19), (21, 15), (17, 34), (59, 18), (51, 54), (54, 40), (10, 23), (27, 44), (24, 15), (5, 33), (24, 48), (13, 25)]
[(37, 50), (18, 51), (59, 1), (4, 7), (41, 49), (11, 6), (13, 5), (61, 50), (52, 17), (11, 47), (61, 3), (41, 61)]
[(62, 55), (10, 18), (56, 24), (38, 35), (6, 42), (28, 18), (4, 49), (24, 28), (57, 9), (24, 12), (43, 28), (26, 48)]
[(10, 60), (32, 46), (32, 12), (11, 35), (62, 16), (9, 48), (19, 44), (19, 51), (36, 17), (34, 9), (45, 10), (50, 48)]
[(26, 63), (1, 57), (25, 63), (61, 27), (57, 61), (44, 0), (7, 17), (18, 49), (21, 59), (26, 50), (49, 19), (27, 2)]
[(34, 39), (54, 12), (51, 37), (49, 46), (7, 15), (51, 49), (13, 10), (48, 7), (19, 2), (24, 14), (5, 15), (49, 37)]
[(15, 13), (5, 8), (39, 17), (46, 41), (45, 8), (1, 26), (4, 23), (8, 2), (25, 47), (28, 31), (49, 28), (55, 34)]
[(38, 35), (58, 1), (37, 63), (17, 21), (38, 34), (7, 43), (44, 58), (15, 36), (16, 35), (43, 8), (8, 32), (24, 20)]
[(16, 37), (34, 38), (26, 48), (56, 43), (48, 26), (27, 30), (54, 41), (9, 17), (38, 9), (6, 42), (2, 30), (43, 6)]
[(24, 44), (16, 9), (36, 56), (37, 41), (60, 24), (57, 61), (33, 7), (10, 61), (43, 21), (27, 41), (55, 2), (20, 17)]
[(46, 52), (34, 59), (44, 38), (25, 0), (33, 34), (53, 1), (9, 21), (21, 34), (58, 3), (28, 7), (62, 7), (28, 31)]
[(56, 60), (61, 40), (2, 51), (19, 47), (38, 54), (58, 46), (55, 6), (51, 8), (17, 35), (23, 19), (48, 19), (20, 5)]
[(7, 26), (59, 55), (43, 21), (29, 62), (35, 30), (22, 38), (63, 54), (47, 21), (35, 5), (32, 44), (29, 36), (31, 61)]
[(36, 21), (54, 0), (12, 63), (12, 50), (1, 45), (45, 38), (0, 16), (13, 44), (44, 2), (1, 26), (9, 21), (17, 48)]
[(1, 31), (53, 29), (61, 3), (32, 44), (11, 37), (41, 27), (28, 13), (60, 52), (41, 32), (41, 9), (44, 4), (37, 26)]
[(14, 10), (58, 35), (50, 52), (19, 23), (23, 61), (38, 25), (5, 61), (13, 41), (0, 42), (39, 57), (59, 1), (21, 34)]
[(16, 47), (14, 16), (15, 27), (41, 62), (48, 41), (3, 37), (22, 48), (37, 4), (56, 49), (0, 56), (43, 2), (63, 60)]
[(23, 28), (53, 43), (3, 26), (52, 5), (5, 49), (55, 20), (15, 26), (17, 31), (23, 48), (0, 14), (32, 63), (51, 17)]
[(32, 11), (39, 27), (18, 29), (3, 13), (33, 54), (8, 18), (1, 35), (1, 20), (33, 53), (29, 60), (6, 60), (0, 9)]
[(7, 24), (19, 27), (53, 35), (42, 13), (14, 58), (42, 59), (18, 16), (41, 0), (50, 35), (9, 59), (33, 25), (15, 16)]
[(19, 23), (18, 49), (19, 21), (4, 42), (2, 42), (44, 39), (0, 11), (5, 33), (21, 56), (8, 37), (47, 22), (60, 24)]
[(27, 54), (39, 35), (31, 20), (40, 11), (27, 62), (36, 63), (46, 2), (48, 27), (11, 22), (8, 17), (59, 30), (3, 38)]
[(60, 4), (48, 6), (19, 57), (46, 24), (8, 13), (57, 55), (61, 50), (29, 40), (29, 17), (32, 24), (52, 30), (55, 56)]
[(57, 39), (63, 4), (27, 15), (54, 43), (1, 28), (30, 61), (44, 52), (2, 0), (13, 56), (56, 1), (10, 14), (29, 11)]
[(13, 18), (61, 34), (45, 53), (0, 20), (50, 39), (10, 43), (63, 22), (37, 33), (50, 40), (13, 62), (42, 44), (34, 1)]
[(49, 40), (52, 14), (5, 23), (46, 4), (51, 18), (51, 17), (3, 30), (14, 29), (11, 60), (38, 47), (2, 37), (0, 60)]
[(0, 11), (47, 35), (21, 35), (38, 50), (26, 39), (42, 7), (37, 19), (30, 57), (4, 11), (48, 8), (31, 35), (43, 48)]
[(28, 56), (31, 32), (46, 26), (59, 56), (40, 61), (36, 28), (2, 56), (47, 37), (12, 43), (16, 37), (32, 55), (47, 33)]
[(19, 40), (15, 25), (57, 8), (2, 47), (25, 38), (1, 34), (46, 25), (54, 53), (28, 37), (57, 1), (38, 53), (39, 24)]
[(12, 30), (7, 15), (4, 7), (16, 18), (55, 16), (26, 34), (14, 43), (4, 50), (54, 58), (63, 16), (15, 6), (45, 4)]
[(52, 15), (12, 38), (52, 30), (63, 4), (62, 43), (51, 22), (3, 26), (57, 26), (26, 55), (34, 8), (24, 18), (48, 15)]
[(6, 56), (52, 42), (40, 17), (12, 35), (33, 57), (3, 46), (6, 25), (38, 19), (41, 2), (46, 54), (3, 21), (45, 14)]
[(28, 31), (3, 25), (15, 19), (50, 35), (11, 13), (50, 18), (24, 57), (43, 50), (37, 0), (6, 23), (16, 62), (52, 8)]
[(43, 59), (31, 46), (52, 6), (50, 19), (32, 38), (10, 59), (43, 20), (39, 63), (63, 52), (13, 42), (18, 13), (25, 16)]
[(35, 26), (1, 49), (32, 14), (63, 52), (15, 23), (49, 54), (40, 38), (15, 2), (35, 36), (31, 13), (39, 9), (49, 51)]
[(18, 49), (9, 60), (55, 27), (20, 40), (56, 63), (26, 27), (33, 50), (15, 7), (18, 10), (52, 50), (36, 30), (2, 55)]
[(48, 20), (60, 46), (42, 18), (37, 50), (8, 21), (47, 52), (26, 61), (41, 7), (31, 33), (51, 47), (55, 40), (50, 5)]
[(61, 24), (52, 21), (25, 60), (40, 58), (16, 42), (27, 18), (48, 15), (44, 15), (51, 25), (0, 50), (6, 43), (6, 16)]
[(18, 19), (13, 4), (18, 60), (12, 37), (35, 34), (20, 51), (54, 40), (7, 25), (4, 36), (29, 32), (4, 15), (61, 51)]
[(25, 48), (50, 1), (31, 30), (41, 24), (9, 55), (50, 23), (22, 41), (8, 53), (21, 13), (31, 7), (7, 38), (11, 54)]
[(39, 60), (49, 39), (37, 1), (45, 10), (41, 62), (18, 28), (5, 39), (61, 38), (25, 2), (1, 11), (8, 19), (49, 8)]
[(63, 58), (46, 17), (6, 17), (27, 55), (47, 18), (5, 6), (52, 27), (33, 40), (60, 52), (60, 54), (31, 59), (31, 13)]
[(35, 14), (14, 21), (27, 43), (30, 58), (20, 50), (55, 61), (21, 13), (56, 31), (0, 58), (54, 37), (1, 10), (23, 49)]
[(40, 26), (2, 1), (7, 13), (2, 6), (25, 58), (27, 9), (57, 22), (46, 4), (5, 45), (13, 26), (46, 13), (52, 43)]
[(31, 43), (60, 20), (16, 11), (15, 29), (30, 12), (29, 41), (33, 9), (51, 59), (18, 60), (7, 18), (14, 28), (33, 47)]
[(33, 51), (42, 35), (7, 53), (42, 10), (32, 36), (15, 33), (9, 15), (20, 13), (38, 39), (2, 60), (46, 61), (36, 42)]
[(25, 3), (39, 37), (27, 8), (18, 27), (59, 4), (11, 42), (62, 4), (63, 10), (34, 23), (26, 52), (50, 19), (45, 56)]
[(33, 57), (58, 14), (47, 22), (16, 48), (38, 50), (51, 23), (26, 22), (49, 56), (13, 20), (49, 24), (14, 1), (44, 5)]
[(17, 31), (3, 39), (22, 51), (41, 46), (25, 10), (54, 62), (11, 36), (0, 18), (12, 44), (51, 34), (24, 44), (44, 59)]
[(24, 17), (32, 29), (38, 44), (59, 57), (19, 35), (1, 51), (13, 36), (43, 49), (9, 42), (58, 20), (6, 5), (42, 3)]
[(60, 59), (53, 20), (36, 35), (25, 61), (48, 55), (29, 15), (32, 3), (48, 59), (31, 19), (57, 47), (61, 36), (11, 8)]
[(24, 17), (57, 59), (32, 30), (24, 35), (12, 0), (45, 62), (58, 59), (6, 56), (28, 22), (40, 25), (38, 3), (42, 32)]
[(36, 62), (43, 44), (49, 51), (57, 24), (31, 38), (33, 26), (61, 0), (42, 13), (14, 21), (43, 37), (6, 51), (41, 49)]
[(33, 51), (61, 54), (14, 62), (14, 54), (17, 39), (22, 13), (36, 5), (23, 34), (0, 13), (49, 9), (12, 29), (57, 55)]
[(25, 29), (46, 28), (8, 16), (0, 48), (27, 15), (50, 15), (24, 8), (12, 56), (10, 37), (24, 22), (2, 41), (9, 27)]
[(16, 42), (45, 56), (4, 24), (15, 30), (17, 51), (18, 6), (34, 54), (6, 51), (49, 41), (59, 62), (24, 31), (54, 59)]
[(38, 37), (50, 41), (56, 31), (62, 7), (13, 42), (61, 57), (47, 24), (58, 49), (13, 33), (52, 21), (54, 29), (56, 7)]
[(9, 14), (59, 24), (51, 57), (3, 17), (17, 25), (30, 48), (57, 12), (43, 12), (30, 57), (51, 45), (14, 18), (58, 42)]
[(14, 52), (15, 62), (22, 52), (53, 5), (43, 52), (21, 56), (16, 30), (59, 1), (42, 34), (1, 33), (48, 46), (15, 42)]
[(42, 30), (15, 43), (19, 49), (22, 61), (1, 56), (31, 18), (57, 47), (40, 6), (30, 58), (12, 42), (16, 37), (35, 26)]
[(4, 25), (34, 23), (52, 43), (17, 62), (63, 39), (20, 0), (4, 6), (3, 50), (48, 30), (21, 39), (60, 30), (54, 41)]
[(39, 6), (45, 61), (47, 24), (9, 14), (15, 17), (24, 8), (1, 46), (61, 4), (62, 40), (1, 32), (60, 18), (50, 31)]
[(47, 25), (20, 47), (18, 2), (63, 51), (7, 22), (18, 44), (59, 36), (15, 1), (31, 16), (7, 48), (26, 32), (13, 12)]
[(2, 34), (21, 39), (46, 29), (40, 50), (58, 38), (27, 5), (15, 0), (41, 38), (52, 9), (4, 51), (49, 53), (10, 2)]
[(0, 8), (18, 36), (60, 10), (47, 35), (30, 22), (18, 56), (30, 12), (9, 43), (39, 63), (51, 10), (47, 58), (48, 26)]
[(50, 27), (51, 49), (28, 14), (41, 25), (51, 16), (37, 46), (52, 23), (50, 43), (32, 27), (59, 33), (33, 21), (59, 35)]
[(8, 50), (11, 15), (12, 23), (52, 38), (11, 44), (15, 7), (3, 39), (43, 35), (60, 10), (43, 2), (8, 10), (26, 38)]
[(15, 42), (43, 32), (31, 3), (32, 13), (37, 30), (10, 34), (37, 7), (34, 48), (21, 43), (55, 14), (47, 5), (14, 47)]
[(14, 37), (62, 19), (1, 15), (9, 30), (57, 10), (11, 42), (15, 46), (32, 6), (57, 7), (36, 35), (11, 37), (43, 34)]
[(35, 10), (61, 41), (12, 0), (33, 18), (47, 7), (24, 63), (45, 28), (3, 9), (26, 48), (30, 28), (2, 56), (26, 44)]
